,text,y
22,"Долгая зарядка(6 часов), а разряжается активно. Если в инете часа 4, то за день. В режиме ожидания за сутки на 40проц. разряжается.",0
23,Цветовая гамма подкачала,0
24,Из минусов обозначу скругленный корпус (телефон легко может выскользнуть из рук). Но этот нюанс решается покупкой чехла,0
25,не обнаружено ,0
26,не обнаруживаются пока...,0
27,Нет отпечатка пальца. ,0
28,"Нету быстрой зарядки, полная зарядка занимает по ощущениям больше трёх часов( не засекал) хотя автономность на высоте, это спасаетПри фотографировании на sd card,  подвисает, возможно только у меня, ещё + нету обычной галереиДинамик не очень громкий, спасают наушникиЕсли много чего открыто, чутка подвисает, проц не самый расторопный",0
29,"пока не выявил недостатков ,пока только радует",0
30,"Передняя камера слабовата. Не то, чтобы недостаток, мелкий недочёт для меня. Маловато оперативы (3гб). Сидеть в социальных сетях памяти хватает, сложными расчетами я не занимаюсь.  Так что для меня этот недостаток не заметен. ",0
31,Нет,0
32,"Тормозила камера при включении, после обновления прошивки прошло, при следующем обновлении вернулось",0
33,"Не увидел. Все, что ожидал от этого телефона в этом корпусе уместилось, причем телефон легче и тоньше своего предшественника. ",0
34,"- Очень туго открывается задняя крышка. - Несколько запутанное меню. Сам не нашёл вариантов отправления СМС, хотя опыт общения с мобильными телефонами почти 20 лет.- Нет возможности поставить отдельную мелодию на каждый контакт. Раньше это можно было делать даже в самых дешёвых моделях.- Батарея так себе. При весьма среднем только общении без инета, музыки, камеры начинает подавать сигналы о разрядке дня через два-три. При этом может продержаться ещё сутки и больше. Но сигнал регулярно зудит каждый час.- Слабая вибрация, скорее жужжание какое-то.- Цена завышена в 1.5 - 2 раза.  ",0
35,Нет эквалайзера в плеере,0
36,"Не советую покупать. Производитель выпустил неудачное обновление, превратив телефон в обычную звонилка, мессенджерами стало невозможно пользоваться. Отзывную компанию не проводит, свою ошибку не признает",0
37,"После обновления до андроид 10 все приложения, кроме приложений Гугла, перестали работать в фоновом режиме, в результате чего не приходят push-уведомления от приложений ватсап, сбербанк, телеграмм, Вайбер, ВКонтакте и т.д. Обращения в службу поддержки Nokia не дают результата, обращался несколько раз. Сначала советуют проверять настройки телефона, а когда все способы перепробованы, отвечают ""передадим информацию коллегам, выпустят обновление с исправлениями"". Но вместо исправления 10 андроида, выпустили уже два раза обновление системы безопасности.",0
38,Не нашли.,0
39,Пока не нет. ,0
40,Слабая батарея,0
41,"Слабоватые камеры, обе. Сильно греется при активном использовании. Нет наушников в комплекте. ",0
42,"по прошествии 5 мес. стала почему то батарейка быстро разряжаться, кончно может прог по натыкала лишних.. не знаю",0
43,Не стал бы снова покупать,0
44,Батареи хватает на 4 часа.,0
45,Не обнаружил пока,0
46,"Тупит и долго думает при работе с приложениями из PlayMarket, слабовато, видимо, ""железо"" для соцсетей.",0
47,Старый разъем для зарядки.,0
48,Из коробки не очень хорошо работает датчик приближения. Но всё настраивается благодаря you tube. Кто не может настроить тот рукажоп!!,0
49,Если вы любитель селфи камера слабая,0
50,Нет,0
51,Пока не обнаружила! ,0
52,"Посмотрел отзывы в инете, много людей с такой же проблемой как у меня,но есть и хорошие отзывы о данной модели. Скорее всего из бракованной партии попался",0
53,"через 6 часов после приобретения смартфон начал перезагружаться сам (3-6 РАЗ НА ДЕНЬ)чуть позже вовсе завис. решил отнести его обратно(не прошло даже 48 часов) в салон связи БИЛАЙН. Поменять отказались,деньги возвращать тоже не хотят. Придётся решать в судебном порядке.",0
54,Не тянет заявленные характеристики.Впечатления? Их нет.,0
55,"Долгая зарядка(6 часов), а разряжается активно. Если в инете часа 4, то за день. В режиме ожидания за сутки на 40проц. разряжается.",0
56,Цветовая гамма подкачала,0
57,Из минусов обозначу скругленный корпус (телефон легко может выскользнуть из рук). Но этот нюанс решается покупкой чехла,0
58,не обнаружено ,0
59,не обнаруживаются пока...,0
60,Нет отпечатка пальца. ,0
61,"Нету быстрой зарядки, полная зарядка занимает по ощущениям больше трёх часов( не засекал) хотя автономность на высоте, это спасаетПри фотографировании на sd card,  подвисает, возможно только у меня, ещё + нету обычной галереиДинамик не очень громкий, спасают наушникиЕсли много чего открыто, чутка подвисает, проц не самый расторопный",0
62,"пока не выявил недостатков ,пока только радует",0
63,"Передняя камера слабовата. Не то, чтобы недостаток, мелкий недочёт для меня. Маловато оперативы (3гб). Сидеть в социальных сетях памяти хватает, сложными расчетами я не занимаюсь.  Так что для меня этот недостаток не заметен. ",0
64,Нет,0
65,"Тормозила камера при включении, после обновления прошивки прошло, при следующем обновлении вернулось",0
66,Не нашел!,0
67,"Камера. Нечёткие фотографии, искажения в цвете, на расстоянии и в вечернее время вообще фотографии получаются некачественными. В сравнении с Нокиа 7.1 небо и земля. После полутора лет работы смартфона начались проблемы с зарядкой- не хватает на сутки полной зарядки и со входом или зарядным устройством- болтается, за ночь заряжается процентов на 20. Нет карты памяти. Собственной памяти тоже мало.",0
68,"Светодиод бы поярче)), а так их просто нет!",0
69,"Единственный, на мой взгляд, минусик - загрязнения на экране сильнее выражены, чем на предыдущих моих смартфонах... Но это не существенный минус.",0
70,Иногда не хватает 2гб оперативной памяти ,0
71,Пока нет.,0
72,"Не нашёл за несколько месяцев. Наверное, есть аппараты и получше, но здесь соотношение цена/качество близко к оптимальному",0
73,Тяжёлый смартфон редми 8 а,0
74,По моему мнению недостатков нет.,0
75,Минусов нет.,0
76,Через 5 месяцев камера стала 10 секунд фокусируется. ,0
77,Минус то что 32 гига а так советую ,0
78,Иногда подглючивает,0
79,Нет,0
80,"Не очень практичный корпус, сильно блескучий и возможно хрупкий.Один раз сам в начале использования внезапно перезагрузился, но сейчас пока больше такого нет. Возможно исправили очередным обновлением ""по воздуху""",0
81,"Пластиковая крышка, царапается очень сильно.",0
82,Пока не обнаружено,0
83,"камера очень посредственная, прям на троечку с минусом. плохо фокусируется. у меня на Люмии 650 восьмипиксельная камера снимала лучше чем эта 13 пиксельная. регулярно перезагружал, бывало по нескольку раз за день, так как начинал подтупливать. один раз вообще просто завис.думал телефон такой попался, ан нет у жены Nokia6 схожие проблемы.сам включался два раза Talkback, это просто ппц жопа что бы его отключить. после обновлений сами по себе меняются настройки экрана, вызовов и т д., причём не в лучшую сторону. а вернуть прежние невозможно.скользкий корпус,очень скользкий! и ещё много мелочей которые раздражают.",0
84,"Из минусов мелкие недочёты и глюки. Например не идеально работающий автофокус и автоопределение яркости экрана, вспышка иногда становится недоступна. Во время зависит видео, даже когда ты фокусируется  на определенном предмете, продолжает постоянно ловить фокус и определять удобную ему яркость - при этом, конечно же появляются пересветы и расфокусы. Как обычно, глюки лечатся перезагрузкой - это же Nokia! Но общее впечатление конечно же портит. Всё-таки флагман!",0
85,Крепкий смартфон с сырой прошивкой и слабым процессором.,0
86,"Виснет. Алгоритм управления файлами ужасный. Сам время от времени начинает звонить куда то. Включается в кармане заблокированный. Т9 не отключается. Камера крайне слабая, и уж ни как не соответствует заявленным параметрам. Множество багов в программном обеспечении.",0
87,мтк,0
88,Мтк,0
89,по моему мнению мину может быть только в том что нету стабилизации на видео,0
90,"За месяц активного использования заметных недостатков не обнаружил. Бывает в автоматическом режиме яркость экрана почему-то снижается и на нажатия не реагирует, приходится повышать вручную, либо отключив и заново включив экран. Пару раз при включении камеры приложение ""камера"" зависало, всё легко исправлялось перезапуском приложения.",0
91,"ключит постоянно. Работает сам по себе. то какое то приложение включит, то браузер, то фотоаппарат ... Отключишь все, а он опять. А сколько раз надо потереть его, чтоб он вышел с данной страницы? Достал! А вот скорость, цвета, четкость, это хорошо",0
92,Слишком много рекламы. ,0
93,Нет.,0
94,камера торчит.,0
95,Их можно не считать. ,0
96,NFC нет.,0
97,"явных минусов не нашел. сканер отпечатка так расположен, что иногда доставая из кармана можно случайно разблокировать, но это не особо грузит.",0
98,Минусов пока не увидела и надеюсь не увижу. Пока только одни плюсы. ,0
99,Нет,0
100,Не нашел!,0
101,"Камера. Нечёткие фотографии, искажения в цвете, на расстоянии и в вечернее время вообще фотографии получаются некачественными. В сравнении с Нокиа 7.1 небо и земля. После полутора лет работы смартфона начались проблемы с зарядкой- не хватает на сутки полной зарядки и со входом или зарядным устройством- болтается, за ночь заряжается процентов на 20. Нет карты памяти. Собственной памяти тоже мало.",0
102,"Светодиод бы поярче)), а так их просто нет!",0
103,"Единственный, на мой взгляд, минусик - загрязнения на экране сильнее выражены, чем на предыдущих моих смартфонах... Но это не существенный минус.",0
104,Иногда не хватает 2гб оперативной памяти ,0
105,Пока нет.,0
106,"Не нашёл за несколько месяцев. Наверное, есть аппараты и получше, но здесь соотношение цена/качество близко к оптимальному",0
107,Тяжёлый смартфон редми 8 а,0
108,По моему мнению недостатков нет.,0
109,Минусов нет.,0
110,Через 5 месяцев камера стала 10 секунд фокусируется. ,0
111,Минус то что 32 гига а так советую ,0
112,Иногда подглючивает,0
113,Нет,0
114,"Не очень практичный корпус, сильно блескучий и возможно хрупкий.Один раз сам в начале использования внезапно перезагрузился, но сейчас пока больше такого нет. Возможно исправили очередным обновлением ""по воздуху""",0
115,"Пластиковая крышка, царапается очень сильно.",0
116,Пока не обнаружено,0
117,"камера очень посредственная, прям на троечку с минусом. плохо фокусируется. у меня на Люмии 650 восьмипиксельная камера снимала лучше чем эта 13 пиксельная. регулярно перезагружал, бывало по нескольку раз за день, так как начинал подтупливать. один раз вообще просто завис.думал телефон такой попался, ан нет у жены Nokia6 схожие проблемы.сам включался два раза Talkback, это просто ппц жопа что бы его отключить. после обновлений сами по себе меняются настройки экрана, вызовов и т д., причём не в лучшую сторону. а вернуть прежние невозможно.скользкий корпус,очень скользкий! и ещё много мелочей которые раздражают.",0
118,"Из минусов мелкие недочёты и глюки. Например не идеально работающий автофокус и автоопределение яркости экрана, вспышка иногда становится недоступна. Во время зависит видео, даже когда ты фокусируется  на определенном предмете, продолжает постоянно ловить фокус и определять удобную ему яркость - при этом, конечно же появляются пересветы и расфокусы. Как обычно, глюки лечатся перезагрузкой - это же Nokia! Но общее впечатление конечно же портит. Всё-таки флагман!",0
119,Крепкий смартфон с сырой прошивкой и слабым процессором.,0
120,"Виснет. Алгоритм управления файлами ужасный. Сам время от времени начинает звонить куда то. Включается в кармане заблокированный. Т9 не отключается. Камера крайне слабая, и уж ни как не соответствует заявленным параметрам. Множество багов в программном обеспечении.",0
121,мтк,0
122,Мтк,0
123,по моему мнению мину может быть только в том что нету стабилизации на видео,0
124,"За месяц активного использования заметных недостатков не обнаружил. Бывает в автоматическом режиме яркость экрана почему-то снижается и на нажатия не реагирует, приходится повышать вручную, либо отключив и заново включив экран. Пару раз при включении камеры приложение ""камера"" зависало, всё легко исправлялось перезапуском приложения.",0
125,"ключит постоянно. Работает сам по себе. то какое то приложение включит, то браузер, то фотоаппарат ... Отключишь все, а он опять. А сколько раз надо потереть его, чтоб он вышел с данной страницы? Достал! А вот скорость, цвета, четкость, это хорошо",0
126,Слишком много рекламы. ,0
127,Нет.,0
128,камера торчит.,0
129,Их можно не считать. ,0
130,NFC нет.,0
131,"явных минусов не нашел. сканер отпечатка так расположен, что иногда доставая из кармана можно случайно разблокировать, но это не особо грузит.",0
132,Минусов пока не увидела и надеюсь не увижу. Пока только одни плюсы. ,0
133,Нет,0
134,"Немного великоват, неудобно расположены кнопки звука и выключения, на разных сторонах,когда хочешь выключить обязательно сделаешь скриншот! Кто пользуется тот поймет, потому что когда нажимаешь кнопку выключения второй палец нажимает ровно напротив, а там качелька звука,и бац, скриншот! ",0
135,Экран бы пошире ,0
136,Нет. ,0
137,Их не было.,0
138,Не тянет тяжелые игрыМедленная камераГибридный слот для SIM,0
139,"Пока нет ещё чехлов и нормальных защитных стёкл  .Андроид 7.1 не привычен  кнопки вызова и отбой поменяли местами (для левши наверное ?) но это меняется другой оболочкой коих много в инете ,  камера  (фронт) выступает  не привычно",0
140,"Быстро разряжаетсья, АКБ не показывает в процентах, и сильно нагревается при зарядке. Процессор слабоват, работа процессора не очень.",0
141,Недостатков просто нет,0
142,"Камера сильно выпирает, если боитесь поцарапать камеру, покупайте высокопрофильный чехол. Присутствует пластик, по бокам. Но не существенный минус. ",0
143,нет,0
144,Ненужные не удаляемы приложения,0
145,Остаточное изображение на экране tianma. Крайне слабый уровень приема сигнала сотовой сети. Вышел в продажу с устаревшим ПО осенью  и так до сих пор не обновился (лето). Miui 11 фризит в анимациях и это финальная версия. Софт- вот на чем жестко экономят китайцы. ,0
146,Пока нет минусов ,0
147,Пока нет,0
148,Нет ,0
149,"Огорчило отсутствие отдельного слота под sd card. Он конечно есть, но совмещает слот с сим картой. Либо сим карта, либо sd card. Но объем в 64 Гб, с легкостью покрывает этот недостаток. ",0
150,"Батарея слабоват, но зарядка быстрая",0
151,Батарея без оптимизации держит не так уж и долго. ,0
152,Очень большой экран,0
153,"Не замечено больших минусов,  хотелось бы стабилизацию в видеосъёмке.",0
154,Минус только один-в комплекте нет наушников,0
155,"Нет датчика приближения, быстрой зарядки.. Местами баги. Оболочка заводская, не прошивается.. ",0
156,не нашел,0
157,Недостатков пока не обнаружил.,0
158,Пока не нашел,0
159,Нету поддержки 5Гц канала вай-фай,0
160, Большой объем памяти (128гб),0
161,"Не работает датчик блокировки экрана при звонке. Во время разговора постоянно нажимаешь кнопку динамика или пальцами или щекой, раздражает неимоверно.",0
162,Есть такая особенноть(может не только у бренда Сяоми) загрязняется слуховой динамик аж до потери звука.,0
163,"Меня все устраивает. Накосячили с рамками экрана в части закруглений - выглядит криво в углах, но это косметика.",0
164,не выявил,0
165,За три недели пользования не выявила ,0
166,нет в нем недостатков!!!очень удачная модель!!!!!!!!супппеееерррррр!!!!!!!!!!!!!,0
167,"Не нашел, разве что только отпечатки собирает. Это решается обычным силиконовым чехлом - за книжку я бы не стал переплачивать так как стекло у него великолепно все держит.",0
168,"Отсутствует индикатор уведомлений и нет фирменного Glance Screen, решается установкой сторонних программ.",0
169,"маленький кабель зарядки,дешманская гарнитура.Качество сьемки на экране телефона выглядит как в самсунге за 5 тыс руб.2 гб памяти маловато(постоянно используется 1-1.2 гб памяти.с 16 гб встроенной памяти свободно 6(уже 5)",0
170,Камера,0
171,"Через 5 месяцев сломалось гнездо зарядки, хотя я относительно аккуратно обращался. Внешних признаков не было. Просто перестал заряжаться от зарядных устройств. ",0
172,Всё устраивает за 12 тыр. ,0
173,"Немного великоват, неудобно расположены кнопки звука и выключения, на разных сторонах,когда хочешь выключить обязательно сделаешь скриншот! Кто пользуется тот поймет, потому что когда нажимаешь кнопку выключения второй палец нажимает ровно напротив, а там качелька звука,и бац, скриншот! ",0
174,Экран бы пошире ,0
175,Нет. ,0
176,Их не было.,0
177,Не тянет тяжелые игрыМедленная камераГибридный слот для SIM,0
178,"Пока нет ещё чехлов и нормальных защитных стёкл  .Андроид 7.1 не привычен  кнопки вызова и отбой поменяли местами (для левши наверное ?) но это меняется другой оболочкой коих много в инете ,  камера  (фронт) выступает  не привычно",0
179,"Быстро разряжаетсья, АКБ не показывает в процентах, и сильно нагревается при зарядке. Процессор слабоват, работа процессора не очень.",0
180,Недостатков просто нет,0
181,"Камера сильно выпирает, если боитесь поцарапать камеру, покупайте высокопрофильный чехол. Присутствует пластик, по бокам. Но не существенный минус. ",0
182,нет,0
183,Ненужные не удаляемы приложения,0
184,Остаточное изображение на экране tianma. Крайне слабый уровень приема сигнала сотовой сети. Вышел в продажу с устаревшим ПО осенью  и так до сих пор не обновился (лето). Miui 11 фризит в анимациях и это финальная версия. Софт- вот на чем жестко экономят китайцы. ,0
185,Пока нет минусов ,0
186,Пока нет,0
187,Нет ,0
188,"Огорчило отсутствие отдельного слота под sd card. Он конечно есть, но совмещает слот с сим картой. Либо сим карта, либо sd card. Но объем в 64 Гб, с легкостью покрывает этот недостаток. ",0
189,"Батарея слабоват, но зарядка быстрая",0
190,Батарея без оптимизации держит не так уж и долго. ,0
191,Очень большой экран,0
192,"Не замечено больших минусов,  хотелось бы стабилизацию в видеосъёмке.",0
193,Минус только один-в комплекте нет наушников,0
194,"Нет датчика приближения, быстрой зарядки.. Местами баги. Оболочка заводская, не прошивается.. ",0
195,не нашел,0
196,Недостатков пока не обнаружил.,0
197,Пока не нашел,0
198,Нету поддержки 5Гц канала вай-фай,0
199, Большой объем памяти (128гб),0
200,"Не работает датчик блокировки экрана при звонке. Во время разговора постоянно нажимаешь кнопку динамика или пальцами или щекой, раздражает неимоверно.",0
201,Есть такая особенноть(может не только у бренда Сяоми) загрязняется слуховой динамик аж до потери звука.,0
202,"Меня все устраивает. Накосячили с рамками экрана в части закруглений - выглядит криво в углах, но это косметика.",0
203,не выявил,0
204,За три недели пользования не выявила ,0
205,нет в нем недостатков!!!очень удачная модель!!!!!!!!супппеееерррррр!!!!!!!!!!!!!,0
206,"Не нашел, разве что только отпечатки собирает. Это решается обычным силиконовым чехлом - за книжку я бы не стал переплачивать так как стекло у него великолепно все держит.",0
207,"Отсутствует индикатор уведомлений и нет фирменного Glance Screen, решается установкой сторонних программ.",0
208,"маленький кабель зарядки,дешманская гарнитура.Качество сьемки на экране телефона выглядит как в самсунге за 5 тыс руб.2 гб памяти маловато(постоянно используется 1-1.2 гб памяти.с 16 гб встроенной памяти свободно 6(уже 5)",0
209,Камера,0
210,"Через 5 месяцев сломалось гнездо зарядки, хотя я относительно аккуратно обращался. Внешних признаков не было. Просто перестал заряжаться от зарядных устройств. ",0
211,Всё устраивает за 12 тыр. ,0
212,Не обнаружила,0
213,Батарея которая на 4000 и быстро разряжается за 2 дня. Был старый смарт престижио мюзе с7 там батарея былана 5000 и хватало мне её на 5-6 дней с учётом того что в игры не играл.,0
214,Слабоват звук основного динамика.,0
215,Большой размер. Красная подсветка,0
216,Пока не обнаружил,0
217,Минус один- нету индикатора оповещения.Хоть бы где нибудь с боку маленький диод мигал..... ,0
218,за 4 месяца эксплуатации не замечал. ,0
219,"Автономность, маркий пластиковый глянцевый корпус, процессор.",0
220,Отпечаток разблокировки сзади - признак бомж-моделей. 4Gb оперативки маловато для современного аппарата Так и не понял как без сторонних программ вывести % заряда батареи на экран. При интенсивной эксплуатации батареи едва хватает на световой день.,0
221,нет,0
222,"Хотелось бы чуть больше аккумулятор , но на день хватает.",0
223,"Я бы сказал - не минусы , а небольшие недочеты и пожелания : батарейку можно было бы поставить  более емкой ...несколько толстые рамки , хотя , с другой стороны - экран будет целее ...блок с камерами выступает почти на 2 мм , впрочем , я его брал как камерофон , потому на это не обращаю внимания , хотя для кого-то будет это проблемой... Дополнительную кнопку для вызова ассистента считаю лишней ,  вечно нажимаю её , в том числе , когда телефон лежит в кармане ...естественно , экран загорается и начинает пожирать батарею ...",0
224,АКБ не сказал бы что двое суток держит. На день хватает. Это не минус .,0
225,Камера,0
226,хотелось бы что экраны отпечаток откликался быстрей,0
227,"Пластиковый корпус царапается мгновенно, поэтому вся его красота обязательно подлежит упаковке в чехол. Отвратительный динамик (не разговорный) все шипит, хрустит, фонит, в связи с этим слушать на нем музыку или смотреть видео с громко включенным звуком очень неприятно. ",0
228,"Я расстроен покупкой этого телефона!!! Знал бы, то купил бы китайца и пользовался бы себе! Разработчики вы за что дерете такие бабки, за марку!? Народ, вы зайдите на сайт 4pda и почитайте отзывы, перед покупкой телефона,  очень много проблем с этим телефоном! АСЦ нет в моем городе((( ",0
229,"Камера сразу показалась хорошей, но при съёмке в помещении с освещением при приближении качество снимков очень сильно теряется! Батарея сильно снизила свою емкость!!! ОЛЕОФОБНОЕ ПОКРЫТИЕ ЭКРАНА НАЧАЛО СЛАЗИТЬ!!! Телефон был куплен 12.05.2018, а сейчас 1.06.2018!!! Техподдержки нормальной нет, ничего сказать по поводу олеофобного покрытия не могут. ( несите в сервис и в течении 45 дней выясним). Глючит Android не могу зайти в настройки звуковых уведомлений постоянно выскакивает ошибка((( ",0
230,Пока не заметил ,0
231,"Модель сильно разочаровала своим стеклом на экране и на камере, без защиты не поносишь а значит про красоту телефона можно забыть.  Что бы не царапалась основная камера телефон приходится класть экраном вниз, а значит необходимо лепить защитное стекло/пленку. На эту модель перешел с Люмии 640, впечатления неоднозначные, винда как то удобнее, но увы...   7+ получает 2- Ценник ей 20тыс это максимум. ",0
232,"Стекло на основной камере выпирает, из-за чего очень быстро царапается, не прошло и недели пользования, чехол в данной ситуации не спасает. По красоте, она сходит на нет если надеваешь чехол и клеишь защитное стекло. На самом экране уже через две недели начали появляться потертости на краях что очень сильно раздражает, а стоило пару раз положить в карман джинсов. (сдал в тех центр, жду что скажут по этому поводу).  Ценник сильно завышен! Nokia 8 сейчас можно за 23тыс купить, а тут 28 отдавать за стекло которое через пару недель уже никакое... Батарея не такая уж хорошая, да, хватит с утра до вечера при активном пользование. И да, через две недели вышел из строя адаптер питания, так же сдал по гарантии...",0
